Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
Kaiju ni Naritai,怪獣になりたい,38.1,APD 38,2800,Append,671,help
Project SEKAI ULTIMATE Song Medley,プロセカULTIMATE楽曲メドレー,37.9,APD 37,5197,Append,675,help
YAMINABE!!!!!,ヤミナベ!!!!,37.8,37+,2015,Master,329,
JINSEI [Our Life],人生,37.7,37+,2242,Master,370,help
ARE YOU OK?,ダイジョブですか？,37.6,APD 37,2555,Append,487,
What's up? Pop!,What's up? Pop!,37.5,37,2362,Master,315,
MarbleBlue.,MarbleBlue.,37.5,APD 37,2500,Append,449,
Hatsune Kyousoukyoku Dai 01-ban 「Suisei」,初音狂奏曲第01番「彗惺」,37.5,APD 37,2586,Append,755,
Ogyarinizer,おぎゃりないざー,37.4,APD 37,2050,Append,486,
0.0000034,0.0000034,37.3,APD 37,2334,Append,691,
Anniversary High Difficulty Original Song Medley,周年記念高難易度書き下ろし楽曲メドレー,37.2,APD 37,4181,Append,676,
Nekuratune Circus,ネクラチューンサーカス,37.1,APD 37,2173,Append,668,
Memoria,メモリア,37.0,APD 37,2117,Append,488,
JOUOU,嬢王,36.9,APD 36,1972,Append,465,
Birthright Syndrome,生命性シンドロウム,36.7,APD 36,2357,Append,543,
THE END OF HATSUNE MIKU -Gekijouban-,初音ミクの消失−劇場版−,36.6,APD 36,1666,Append,709,
The Intense Voice of Hatsune Miku,初音ミクの激唱,36.6,APD 36,4500,Append,388,
Yuugen no Ran,幽玄ノ乱,36.6,APD 36,2206,Append,708,
Sanity Krush,SAN値直葬,36.5,APD 36,2060,Append,647,
Sage,Sage,36.4,APD 36,1812,Append,448,
the EmpErroR,the EmpErroR,36.3,36,1593,Master,163,
ANiMA,ANiMA,36.3,APD 36,1808,Append,745,
folern,folern,36.1,APD 35,1794,Append,447,
Chou Night of Knights,超ナイト・オブ・ナイツ,36.0,APD 36,1782,Append,622,
Don't Fight The Music,Don't Fight The Music,35.9,35+,1888,Master,164,
MASTER High Difficulty Song Medley,MASTER高難易度楽曲メドレー,35.9,35+,3638,Master,674,
MACHINEGUN POEM DOLL,マシンガンポエムドール,35.9,35+,1819,Master,176,
THE END OF HATSUNE MIKU,初音ミクの消失,35.6,35+,1666,Master,49,
Kusare-gedou and Chocolate,腐れ外道とチョコレゐト,35.6,35+,1763,Master,250,
End Mark ni Kibou to Namida wo soete,エンドマークに希望と涙を添えて,35.5,35,1948,Master,162,
Six Trillion Years and Overnight Story,六兆年と一夜物語,35.5,35,1288,Master,135,
Six Trillion Years and Overnight Story,六兆年と一夜物語,35.5,APD 35,1723,Append,135,
Kaiju ni Naritai,怪獣になりたい,35.4,35,1900,Master,671,
Brand New Day,Brand New Day,35.4,APD 35,1894,Append,128,
Chou Saishuu Kichiku Imouto Flandre S,超最終鬼畜妹フランドール・Ｓ,35.4,APD 35,1914,Append,503,
IMAWANOKIWA,IMAWANOKIWA,35.3,APD 35,1949,Append,584,
Yuugen no Ran,幽玄ノ乱,35.2,35,1410,Master,708,
CHAOS,CHAOS,35.0,APD 35,1651,Append,744,
The Intense Voice of Hatsune Miku,初音ミクの激唱,34.9,34+,1742,Master,131,
Ogyarinizer,おぎゃりないざー,34.7,34+,1637,Master,486,
Hatsune Kyousoukyoku Dai 01-ban 「Suisei」,初音狂奏曲第01番「彗惺」,34.7,34+,2025,Master,755,
Children Record,チルドレンレコード,34.6,APD 34,1627,Append,136,
Tokyo Teddy Bear,東京テディベア,34.6,APD 34,2024,Append,396,
ÅMARA(The Great Intelligence),ÅMARA(大未来電脳),34.5,34,1589,Master,285,
ARE YOU OK?,ダイジョブですか？,34.5,34,1674,Master,487,
Nekuratune Circus,ネクラチューンサーカス,34.5,34,1913,Master,668,
0.0000034,0.0000034,34.4,34,1934,Master,691,
HIBANA -Reloaded-,ヒバナ -Reloaded-,34.3,APD 34,1351,Append,6,
Tondemo-Wonderz,トンデモワンダーズ,34.2,APD 33,1631,Append,127,
Fusion,フュージョン,34.2,APD 34,1555,Append,555,
I am you,Iなんです,34.1,APD 33,1572,Append,304,
Kagerou Daze,カゲロウデイズ,34.1,APD 33,1915,Append,171,
Noda,のだ,34.1,APD 33,1346,Append,558,
Memoria,メモリア,34.0,34,1771,Master,488,
Protodisco,プロトディスコ,34.0,APD 34,1404,Append,561,
Cirno's Perfect Math Academy,チルノのパーフェクトさんすう学園,33.9,APD 33,1599,Append,624,
Hatsune Creation Myth,初音天地開闢神話,33.8,33+,2021,Master,186,
Konton Boogie,混沌ブギ,33.8,APD 33,1615,Append,499,
MarbleBlue.,MarbleBlue.,33.7,33+,1460,Master,449,
THE END OF HATSUNE MIKU -Gekijouban-,初音ミクの消失−劇場版−,33.7,33+,1221,Master,709,
Ángel,アンヘル,33.7,APD 33,1503,Append,562,
KILLER,キラー,33.7,APD 33,1267,Append,474,
ANiMA,ANiMA,33.6,33+,1248,Master,745,
Ghost Rule,ゴーストルール,33.6,33+,1473,Master,199,
TREASURE GARDEN,トレジャーガーデン,33.6,33+,1468,Master,686,
Our 16bit Wars,ぼくらの16bit戦争,33.6,33+,1521,Master,249,
ONESELF,ONESELF,33.6,APD 33,1406,Append,227,
DONUT HOLE 2024,ドーナツホール 2024,33.6,APD 33,1792,Append,220,
CHAOS,CHAOS,33.5,33,1464,Master,744,
snooze,snooze,33.5,APD 33,1429,Append,554,
Saitama 2000,さいたま2000,33.5,APD 33,1448,Append,707,
Lost One's Weeping,ロストワンの号哭,33.4,33,1157,Master,98,
NEO,NEO,33.4,APD 32,1365,Append,366,
Birthright Syndrome,生命性シンドロウム,33.3,33,1493,Master,543,
88☆彡,88☆彡,33.3,APD 32,1388,Append,224,
Pheles,フェレス,33.3,APD 31,1744,Append,291,
Chikyuu Saigo no Kokuhaku wo,地球最後の告白を,33.3,APD 32,1643,Append,154,
Internet Junk Junkie,Internet Junk Junkie,33.2,33,1341,Master,697,
JOUOU,嬢王,33.2,33,1456,Master,465,
Touhou☆Wonderland,とうほう☆ワンダーランド,33.2,APD 32,1488,Append,623,
Kibou no tsuki,幾望の月,33.2,APD 32,1273,Append,456,
Sanity Krush,SAN値直葬,33.1,33,1821,Master,647,
Planet Hero,プラネットヒーロー,33.1,33,1467,Master,588,
Chou Night of Knights,超ナイト・オブ・ナイツ,33.1,33,1403,Master,622,
Journey,Journey,33.1,APD 32,1765,Append,235,
Tenran no Ice Heaven,天藍のアイスヘヴン,33.0,33,1462,Master,732,
Accelerate,アクセラレイト,33.0,APD 32,1126,Append,583,
Non-breath oblige,ノンブレス・オブリージュ,33.0,APD 32,1287,Append,268,
HIBANA -Reloaded-,ヒバナ -Reloaded-,32.9,32+,1060,Master,6,
Haikei Doppelganger,拝啓ドッペルゲンガー,32.9,32+,1654,Master,175,
Sekai-Chan and Kafu-Chan's Otsukai Gassoukyoku,星界ちゃんと可不ちゃんのおつかい合騒曲,32.9,32+,1626,Master,328,
Brand New Day,Brand New Day,32.8,32+,1316,Master,128,
Brain Fluid Explosion Girl,脳漿炸裂ガール,32.8,32+,1500,Master,229,
Suicide Parade,スーサイドパレヱド,32.8,APD 32,1493,Append,606,
CIRCUS PANIC!!!,CIRCUS PANIC!!!,32.7,32+,1239,Master,408,
Setsuna Trip,セツナトリップ,32.7,32+,1370,Master,354,
Tondemo-Wonderz,トンデモワンダーズ,32.7,32+,1224,Master,127,
FUTURE EVE,フューチャー・イヴ,32.7,32+,1628,Master,273,
RAD DOGS,RAD DOGS,32.7,APD 32,1335,Append,101,
Ikiru,生きる,32.7,APD 32,1131,Append,644,
Invisible,インビジブル,32.6,32+,1436,Master,284,
Doctor=Funk Beat,ドクター＝ファンクビート,32.6,32+,1198,Master,28,
Senbonzakura,千本桜,32.6,32+,1257,Master,110,
"Help me, ERINNNNNN!!","Help me, ERINNNNNN!!",32.6,APD 32,1564,Append,502,
We Are Pico Pico Hammers!!!!!,ウィーアーピコピコハンマーズ!!!!,32.5,32,1416,Master,688,
Children Record,チルドレンレコード,32.5,32,1502,Master,136,
Heat abnormal,熱異常,32.5,32,1197,Master,451,
folern,folern,32.4,32,1486,Master,447,
IMAWANOKIWA,IMAWANOKIWA,32.4,32,1423,Master,584,
Sage,Sage,32.4,32,1352,Master,448,
Teo,テオ,32.4,32,1221,Master,3,
Telecaster b boy,テレキャスタービーボーイ,32.4,APD 31,1159,Append,134,
Odoryanse,おどりゃんせ,32.3,32,1303,Master,559,
Bitter Choco Decoration,ビターチョコデコレーション,32.3,32,1377,Master,129,
Manhattan,マンハッタン,32.3,32,1247,Master,590,
Opera! Space Opera!,オペラ！スペースオペラ！,32.3,APD 31,1403,Append,450,
bug,バグ,32.2,32,1343,Master,248,
fixer,フィクサー,32.2,32,1118,Master,183,
Outburst Dreamer Boys,厨病激発ボーイ,32.2,32,1355,Master,581,
Chou Saishuu Kichiku Imouto Flandre S,超最終鬼畜妹フランドール・Ｓ,32.2,32,1270,Master,503,
bug,バグ,32.2,APD 31,1490,Append,248,
Milk Crown on Sonechka,ミルククラウン・オン・ソーネチカ,32.2,APD 31,1495,Append,107,
